#Network | Station | Latitude | Longitude | Elevation | SiteName | StartTime | EndTime 
AU|TWOA|-35.0313|138.5793|168.0|Flinders University, Adelaide Urban Monitoring Site.|2009-06-27T00:00:00.0000|
AU|WATNG|-30.7323|118.19845|360.0|Wattoning, WA|2020-06-12T00:00:00.0000|2024-03-23T00:00:00.0000
AU|WB0|-19.767099|134.3927|392.0|Warramunga Array, NT|2004-01-19T00:00:00.0000|
AU|WB1|-19.959499|134.346298|421.7|Warramunga Array, Australia|1994-01-01T00:00:00.0000|1999-07-01T00:00:00.0000
AU|WB1|-19.959444|134.34642|393.5|Warramunga Array, Australia|1999-07-01T00:00:00.0000|
AU|WB10|-19.767141|134.392838|362.1|Warramunga, NT|2013-08-26T00:00:00.0000|
AU|WB2|-19.942801|134.350998|425.0|Warramunga Array, Australia|1994-01-01T00:00:00.0000|1999-07-01T00:00:00.0000
AU|WB2|-19.942753|134.35112|388.0|Warramunga Array, Australia|1999-07-01T00:00:00.0000|
AU|WB3|-19.923|134.355392|415.5|Warramunga Array, Australia|1994-01-01T00:00:00.0000|1999-07-01T00:00:00.0000
AU|WB3|-19.923019|134.355453|384.2|Warramunga Array, Australia|1999-07-01T00:00:00.0000|
AU|WB4|-19.9035|134.3591|408.5|Warramunga Array, Australia|1994-01-01T00:00:00.0000|1999-07-01T00:00:00.0000
AU|WB4|-19.903646|134.358932|380.6|Warramunga Array, Australia|1999-07-01T00:00:00.0000|
AU|WB5|-19.878201|134.366104|396.1|Warramunga Array, Australia|1994-01-01T00:00:00.0000|1999-07-01T00:00:00.0000
AU|WB5|-19.878218|134.366196|370.9|Warramunga Array, Australia|1999-07-01T00:00:00.0000|
AU|WB6|-19.855|134.367004|396.0|Warramunga Array, Australia|1994-01-01T00:00:00.0000|1999-07-01T00:00:00.0000
AU|WB6|-19.854958|134.367172|364.8|Warramunga Array, Australia|1999-07-01T00:00:00.0000|
AU|WB7|-19.840799|134.379196|416.0|Warramunga Array, Australia|1994-01-01T00:00:00.0000|1999-07-01T00:00:00.0000
AU|WB7|-19.840809|134.379456|353.2|Warramunga Array, Australia|1999-07-01T00:00:00.0000|
AU|WB8|-19.8139|134.380707|389.0|Warramunga Array, Australia|1994-01-01T00:00:00.0000|1999-07-01T00:00:00.0000
AU|WB8|-19.813942|134.380783|356.1|Warramunga Array, Australia|1999-07-01T00:00:00.0000|
AU|WB9|-19.791401|134.383804|391.0|Warramunga Array, Australia|1994-01-01T00:00:00.0000|1999-07-01T00:00:00.0000
AU|WB9|-19.791389|134.383972|360.0|Warramunga Array, Australia|1999-07-01T00:00:00.0000|
AU|WC1|-19.924335|134.33905|392.0|Warramunga Array, Australia|1999-07-01T00:00:00.0000|
AU|WC2|-19.925379|134.365448|375.0|Warramunga Array, Australia|1999-07-01T00:00:00.0000|
AU|WC3|-19.958742|134.371933|382.1|Warramunga Array, Australia|1999-07-01T00:00:00.0000|
AU|WC4|-19.961927|134.339737|387.5|Warramunga Array, Australia|1999-07-01T00:00:00.0000|
AU|WHYH|-33.033001|137.574402|43.0|Whyalla JUMP, South Australia|2009-01-01T00:00:00.0000|2020-01-04T00:00:00.0000
AU|WOLH|-34.407|150.874|91.0|Wollongong Hard Rock, NSW|2011-03-23T00:00:00.0000|
AU|WR0|-19.9597|134.540405|375.0|Warramunga Array, NT|2004-01-19T00:00:00.0000|
AU|WR1|-19.9426|134.339401|419.0|Warramunga Array, Australia|1994-01-01T00:00:00.0000|1999-07-01T00:00:00.0000
AU|WR1|-19.942589|134.339508|388.8|Warramunga Array, Australia|1999-07-01T00:00:00.0000|
AU|WR10|-19.959661|134.540527|353.0|Warramunga, NT|2013-08-26T00:00:00.0000|
AU|WR2|-19.9468|134.362198|415.0|Warramunga Array, Australia|1994-01-01T00:00:00.0000|1999-07-01T00:00:00.0000
AU|WR2|-19.946861|134.362381|385.4|Warramunga Array, Australia|1999-07-01T00:00:00.0000|
